datetime,balance,drawdown,ddpercent,net_pnl,return
2022-07-25,10000000.0,0.0,0.0,0.0,0.0
2022-07-26,10000000.0,0.0,0.0,0.0,0.0
2022-07-27,10000000.0,0.0,0.0,0.0,0.0
2022-07-28,10000000.0,0.0,0.0,0.0,0.0
2022-07-29,10000000.0,0.0,0.0,0.0,0.0
2022-08-01,10000000.0,0.0,0.0,0.0,0.0
2022-08-02,10000000.0,0.0,0.0,0.0,0.0
2022-08-03,10000000.0,0.0,0.0,0.0,0.0
2022-08-04,10000000.0,0.0,0.0,0.0,0.0
2022-08-05,10000000.0,0.0,0.0,0.0,0.0
2022-08-08,10000000.0,0.0,0.0,0.0,0.0
2022-08-09,10000000.0,0.0,0.0,0.0,0.0
2022-08-10,10000000.0,0.0,0.0,0.0,0.0
2022-08-11,10000000.0,0.0,0.0,0.0,0.0
2022-08-12,10000000.0,0.0,0.0,0.0,0.0
2022-08-15,10000000.0,0.0,0.0,0.0,0.0
2022-08-16,10000000.0,0.0,0.0,0.0,0.0
2022-08-17,10000000.0,0.0,0.0,0.0,0.0
2022-08-18,10000000.0,0.0,0.0,0.0,0.0
2022-08-19,10000000.0,0.0,0.0,0.0,0.0
2022-08-22,10000000.0,0.0,0.0,0.0,0.0
2022-08-23,10000000.0,0.0,0.0,0.0,0.0
2022-08-24,10000000.0,0.0,0.0,0.0,0.0
2022-08-25,10000000.0,0.0,0.0,0.0,0.0
2022-08-26,10000000.0,0.0,0.0,0.0,0.0
2022-08-29,10000000.0,0.0,0.0,0.0,0.0
2022-08-30,10000000.0,0.0,0.0,0.0,0.0
2022-08-31,10000000.0,0.0,0.0,0.0,0.0
2022-09-01,10000000.0,0.0,0.0,0.0,0.0
2022-09-02,10000000.0,0.0,0.0,0.0,0.0
2022-09-05,10000000.0,0.0,0.0,0.0,0.0
2022-09-06,10000000.0,0.0,0.0,0.0,0.0
2022-09-07,10000000.0,0.0,0.0,0.0,0.0
2022-09-08,10000000.0,0.0,0.0,0.0,0.0
2022-09-09,10000000.0,0.0,0.0,0.0,0.0
2022-09-13,10000000.0,0.0,0.0,0.0,0.0
2022-09-14,10000000.0,0.0,0.0,0.0,0.0
2022-09-15,10000000.0,0.0,0.0,0.0,0.0
2022-09-16,10000000.0,0.0,0.0,0.0,0.0
2022-09-19,10000000.0,0.0,0.0,0.0,0.0
2022-09-20,10000000.0,0.0,0.0,0.0,0.0
2022-09-21,10000000.0,0.0,0.0,0.0,0.0
2022-09-22,10000000.0,0.0,0.0,0.0,0.0
2022-09-23,10000000.0,0.0,0.0,0.0,0.0
2022-09-26,10000000.0,0.0,0.0,0.0,0.0
2022-09-27,10000000.0,0.0,0.0,0.0,0.0
2022-09-28,10000000.0,0.0,0.0,0.0,0.0
2022-09-29,10000000.0,0.0,0.0,0.0,0.0
2022-09-30,10000000.0,0.0,0.0,0.0,0.0
2022-10-10,10000000.0,0.0,0.0,0.0,0.0
2022-10-11,10000000.0,0.0,0.0,0.0,0.0
